position,temperature,humidity,noice,time,createdAt,updatedAt,__v
Malabe,30.2,91,51.6,2025-04-07 13:18:42.431,2025-04-07 13:18:42.432,2025-04-07 13:18:42.432,0
Malabe,30.2,91,51.6,2025-04-07 13:23:43.705,2025-04-07 13:23:43.706,2025-04-07 13:23:43.706,0
Malabe,30.2,91,51.5,2025-04-07 13:28:44.985,2025-04-07 13:28:44.985,2025-04-07 13:28:44.985,0
Malabe,30.2,91,51.7,2025-04-07 13:33:46.326,2025-04-07 13:33:46.326,2025-04-07 13:33:46.326,0
Malabe,30.2,91,51.6,2025-04-07 13:38:47.586,2025-04-07 13:38:47.586,2025-04-07 13:38:47.586,0
Malabe,30.2,91,51.6,2025-04-07 13:43:52.239,2025-04-07 13:43:52.240,2025-04-07 13:43:52.240,0
Malabe,30.2,91,51.6,2025-04-07 13:48:57.812,2025-04-07 13:48:57.818,2025-04-07 13:48:57.818,0
Malabe,30.2,91,51.6,2025-04-07 13:54:00.217,2025-04-07 13:54:00.218,2025-04-07 13:54:00.218,0
Malabe,30.2,91,51.6,2025-04-07 13:59:01.754,2025-04-07 13:59:01.754,2025-04-07 13:59:01.754,0
Malabe,30.2,91,51.6,2025-04-07 14:04:03.172,2025-04-07 14:04:03.173,2025-04-07 14:04:03.173,0
Malabe,30.2,91,51.6,2025-04-07 14:09:04.524,2025-04-07 14:09:04.525,2025-04-07 14:09:04.525,0
Malabe,30.2,91,51.6,2025-04-07 14:14:05.886,2025-04-07 14:14:05.887,2025-04-07 14:14:05.887,0
Malabe,30.2,91,51.6,2025-04-07 14:19:07.156,2025-04-07 14:19:07.157,2025-04-07 14:19:07.157,0
Malabe,30.2,91,51.6,2025-04-07 14:24:08.699,2025-04-07 14:24:08.700,2025-04-07 14:24:08.700,0
Malabe,30.2,91,51.6,2025-04-07 14:29:09.953,2025-04-07 14:29:09.954,2025-04-07 14:29:09.954,0
Malabe,30.2,91,51.6,2025-04-07 14:34:11.236,2025-04-07 14:34:11.236,2025-04-07 14:34:11.236,0
Malabe,30.2,91,51.7,2025-04-07 14:39:12.729,2025-04-07 14:39:12.729,2025-04-07 14:39:12.729,0
Malabe,30.2,91,51.6,2025-04-07 14:44:14.072,2025-04-07 14:44:14.073,2025-04-07 14:44:14.073,0
Malabe,30.2,91,51.6,2025-04-07 14:49:15.409,2025-04-07 14:49:15.410,2025-04-07 14:49:15.410,0
Malabe,30.2,91,51.7,2025-04-07 14:54:16.695,2025-04-07 14:54:16.695,2025-04-07 14:54:16.695,0
Malabe,30.2,91,51.6,2025-04-07 14:59:18.190,2025-04-07 14:59:18.191,2025-04-07 14:59:18.191,0
Malabe,30.2,91,51.6,2025-04-07 15:04:19.630,2025-04-07 15:04:19.630,2025-04-07 15:04:19.630,0
Malabe,30.2,91,51.6,2025-04-07 15:09:21.004,2025-04-07 15:09:21.004,2025-04-07 15:09:21.004,0
Malabe,30.2,91,51.6,2025-04-07 15:14:22.346,2025-04-07 15:14:22.346,2025-04-07 15:14:22.346,0
Malabe,30.2,91,51.7,2025-04-07 15:19:23.741,2025-04-07 15:19:23.742,2025-04-07 15:19:23.742,0
Malabe,30.2,91,51.6,2025-04-07 15:24:25.084,2025-04-07 15:24:25.085,2025-04-07 15:24:25.085,0
Malabe,30.1,91,51.7,2025-04-07 15:29:26.355,2025-04-07 15:29:26.356,2025-04-07 15:29:26.356,0
